tweet,selected_by_day,date,link,events,selected,journalist,keywords
Lee a rencontré #Magnotta 2 fois ce jour-là. Il était venu en pm pour se faire rembourser 4 boîtes. En avait acheté des + grosses.,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522761613288673280,colis,,@MessierSRC,Lee a rencontré #Magnotta fois jour-là était venu pm faire rembourser boîtes avait acheté grosses
"Couronne appelle maintenant à la barre Tomokazu Lee, le commis du comptoir postal qui a servi #Magnotta le 25 mai 2012.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522760681503088640,procedure,,@MessierSRC,Couronne appelle barre Tomokazu Lee commis comptoir postal a servi #Magnotta 25 mai
Fin du contre-interro de René Tremblay. #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522760333816246272,procedure,,@MessierSRC,Fin contre-interro René Tremblay #Magnotta
"Extrait: «M. #Magnotta attend» «Oui» «Et là, il attend toujours?» «Oui» Passionnant.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522760050335834112,,,@MessierSRC,Extrait M. #Magnotta attend attend Passionnant
"On regarde les vidéos de nouveau. Me Leclair pose diverses questions sur l'apparence de #Magnotta, l'aménagement du PJC...",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522758120968572928,video,,@MessierSRC,regarde vidéos nouveau Me Leclair pose diverses questions l'apparence #Magnotta l'aménagement PJC
"Problème de traduction réglé. On poursuit avec le contre-interro de René Tremblay, ass.-gérant d'un PJC d'où #Magnotta a envoyé deux colis",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522755997795102720,procedure,,@MessierSRC,Problème traduction réglé poursuit contre-interro René Tremblay ass.-g érant PJC d'où #Magnotta a envoyé colis
"Oups, problème de traduction dans la salle d'audience. Juge décrète courte pause, le temps de régler le problème. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522753434886610944,procedure,,@MessierSRC,Oups problème traduction salle d'audience décrète courte pause temps régler problème #Magnotta
"Fin de l'interrogatoire principal de Tremblay. L'avocat de #Magnotta, Luc Leclair, va le contre-interroger.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522753199447740416,procedure,,@MessierSRC,Fin l'interrogatoire principal Tremblay L'avocat #Magnotta Luc Leclair va contre-interroger
"Le commis prend les deux boîtes de #Magnotta. Elles seront conservées au comptoir jusqu'à la collecte, lundi, 10h.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522752069967810560,video surveillance,,@MessierSRC,commis prend deux boîtes #Magnotta seront conservées comptoir jusqu ' collecte lundi 10h
"Voilà #Magnotta au comptoir postal du PJC. Porte perruque noire, pantalon gris, t-shirt blanc, sac en bandoulière. Semble calme.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522751521218637825,video surveillance,,@MessierSRC,Voilà #Magnotta postal PJC Porte perruque noire pantalon gris blanc sac bandoulière Semble calme
"Sur les images, on voit #Magnotta, portant à deux mains un sac de plastique PJC bien rempli. Plusieurs séquences montrées au jury",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522751005981933569,video surveillance,,@MessierSRC,images voit #Magnotta portant mains sac plastique PJC rempli montrées jury
"L'employé qui a servi #Magnotta est Tomokazu Lee, dit Tremblay. Sur ce, on visionne images filmées le 25 mai 2012.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522750264844255232,video surveillance,,@MessierSRC,L'employé a servi #Magnotta est Tomokazu Lee dit Tremblay visionne images filmées 25 mai
