tweet,date,link,events,selected,journalist
Me Leclair s'attarde au fait que Devola a parlé d'une bouteille de jus de lime trouvée dans l'appart. C'était du jus de citron... #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522028882896363520,arrestation,,@MessierSRC
Me Leclair revient sur la porte arrière non-verrouillée de l'appartement de #Magnotta. Possible d'y accéder par une sortie d'urgence.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522028596542865408,arrestation,,@MessierSRC
Devola répète qu'il a senti une odeur de cadavre en entrant dans appartement. A vu des traces de ce qu'il croyait être du sang. #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522026666483535872,appartement,,@MessierSRC
"Sur ce, fin de l'interrogatoire en chef de Devola. Il est contre-interrogé par l'avocat de #Magnotta, Luc Leclair.",10/14/2014,https://twitter.com/#!/MessierSRC/status/522026234528944129,procedure,,@MessierSRC
"Tout était fermé dans appartement, décrit Devola. Cependant, la porte arrière n'était pas verrouillée. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522025994308550656,appartement,,@MessierSRC
Policier Devola explique être entré dans appartement de #Magnotta le 29 mai 2012. Décrit ce qu'il a senti et vu.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522025802830192640,appartement,,@MessierSRC
Procès #Magnotta reprend avec témoignage d'un policier du SPVM: Peter Devola (?). Il a été appelé sur scène de crime le 29 mai 2012.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522025139396149249,procedure,,@MessierSRC
"Procès #Magnotta reprend. Avec un débat hors jury, évidemment.",10/14/2014,https://twitter.com/#!/MessierSRC/status/522017324195667970,procedure,,@MessierSRC
"La biologiste poursuit son témoignage avec minutie. Elle a cherché de l'ADN sur les objets, les vêtements trouvés chez #Magnotta",10/14/2014,https://twitter.com/#!/@IsabelleRicher/status/522098226804318209,corps,,@IsabelleRicher
La biologiste judiciaire Jacinthe Prevost à la barre au procès #Magnotta,10/14/2014,https://twitter.com/#!/@IsabelleRicher/status/522030021616369664,corps,,@IsabelleRicher
"Procès #Magnotta reprend avec le policier Peter Devola SPVM, qui est entré le 29 mai 2012 à l'app. 208 là où le crime a été commis.",10/14/2014,https://twitter.com/#!/@IsabelleRicher/status/522026651144953856,arrestation,,@IsabelleRicher
"#Magnotta: un somnifère a été trouvé dans le corps de Lin Jun... et dans une bouteille de vin qui était chez l'accusé <a href=""http://t.co/wzMw3DnCl8"" target=""_blank"">http://t.co/wzMw3DnCl8</a>",10/15/2014,https://twitter.com/#!/MessierSRC/status/522494253893943296,corps,,@MessierSRC
"Fin du contre-interrogatoire de Catherine Lavallée. Et fin de la journée au procès #Magnotta. Nouveau témoin, dès demain, 9h30",10/15/2014,https://twitter.com/#!/MessierSRC/status/522473887175819264,procedure,,@MessierSRC
Lavallée est formelle : impossible de déterminer concentration de temazepam dans le corps de Lin Jun au moment de sa mort. #Magnotta,10/15/2014,https://twitter.com/#!/MessierSRC/status/522473297179869184,corps,,@MessierSRC
Procès #Magnotta a repris. Toxicologue judiciaire Catherine Lavallée est maintenant contre-interrogée par Me Luc Leclair.,10/15/2014,https://twitter.com/#!/MessierSRC/status/522471005714132993,procedure,,@MessierSRC
Pause de 20 minutes au procès #Magnotta. La Couronne croit avoir terminé son interrogatoire.,10/15/2014,https://twitter.com/#!/MessierSRC/status/522463794686337026,procedure,,@MessierSRC
Lavallée note que le vin est aussi un dépresseur. Mais elle n'a pas pu analyser le taux d'alcoolémie de Lin Jun #Magnotta,10/15/2014,https://twitter.com/#!/MessierSRC/status/522462901177958400,corps,,@MessierSRC
"Lavallée dit avoir trouvé du temazepam dans la bouteille de vin, mais impossible de déterminer en quelle quantité. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522462423631294466,corps,,@MessierSRC
"Temazepam soluble dans du vin rouge? C'est sûr, dit Lavallée. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522462180495876097,corps,,@MessierSRC
"Lavallée explique comment elle a analysé le contenu de la bouteille de vin, en utilisant un solvant, de l'éthanol. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522462006029590528,corps,,@MessierSRC
"27 février 2013, SPVM m'a envoyé bouteille de vin vide pour analyse, dit Lavallée. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522461356696817664,corps,,@MessierSRC
"Temazepam fait normalement effet 1 à 3 heures après consommation, dit Lavallée. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522460898997571584,corps,,@MessierSRC
"Trop forte dose de temazepam peut induire perte de conscience, ajoute Lavallée. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522460710547521538,corps,,@MessierSRC
"Temazepam pas produit du genre le plus courant, dit Lavallée. Mais on en voit dans des cas de meurtre, agression sexuelle #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522460435245969409,corps,,@MessierSRC
"Ces deux substances trouvées chez Lin Jun sont des dépresseurs. Leur présence combinée additionne leur effet, dit Lavallée #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522459916343476224,corps,,@MessierSRC
"Autre substance retrouvée dans corps de Lin Jun : du diphenhydramine, antihistaminique en vente libre, dit Lavallée. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522459257485402112,corps,,@MessierSRC
"Les quantités de temazepam auraient cependant pu être différentes au moment du décès, ajoute Lavallée. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522458877598892033,corps,,@MessierSRC
"2 mg de temazepam ont été retrouvés dans 3 ml de contenu gastrique de Lin Jun, précise Lavallée. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522458527697477632,corps,,@MessierSRC
"Du temazepam réduit le délai d'endormissement et allonge la période de sommeil, explique Lavallée à la Couronne. #Magnotta",10/15/2014,https://twitter.com/#!/MessierSRC/status/522458305541988352,corps,,@MessierSRC
