"tweet","date","link"
"Procès #Magnotta reprend. Son avocat dépose en preuve des articles de journaux qui ont été présentés au Dr Watts hier","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535466424689766400"
"Sur ce, jury quitte la salle d'audiences. Débat hors jury. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535459065997299712"
"Réponse: question difficile. Possible que des déclarations ont été biaisées, mais pas celles en lien avec sa psychose -Watts #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535458723528196096"
"3e question porte sur fiabilité de la verson de #Magnotta.Il a dit lui même qu'il a pu se mêler avec la preuve que lui a présenté son avocat","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535458211806318592"
"Réponse: oui, ça a pu joué un rôle. Ne pas prendre ses médicaments peut entraîner plus de symptômes -Watts #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535457971690819585"
"2e question: ce qui s'est produit à Mount Sinai de Miami peut-il avoir été entraîné par le fait qu'il a cessé médication? #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535457777284820993"
"Une personne habituée de prendre cette médication devrait ressentir moins d'effet qu'une autre, ajoute Watts #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535457349428072448"
"Réponse: ça dépend de la personne, mais ça ne devrait pas changer les hallucinations, par exemple. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535457153092681729"
"1ère question: l'effet combiné du temazepam, du Benadryl et de l'alcool sur une personne souffrant d'une psychose paranoïde? #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535456887702306817"
"Questions du jury: le juge va poser les questions à Watts. Ensuite, avocats de la défense et de la Couronne pourront l'interroger #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535456596030398464"
"Procès #Magnotta reprend. Le juge s'adresse au jury, qui lui a fait parvenir trois questions pour le psychiatre Joel Watts.","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535456341847191553"
"Procès #Magnotta reprendra d'une minute à l'autre. Il y a eu des discussions hors jury plus tôt ce matin.","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535455511362428928"
"Procès #Magnotta reprendra jeudi à 9h, mais hors jury. Jury sera rappelé à 10h30.","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535179888983293953"
"Fin du réinterrogatoire de Joel Watts. Juge demande au jury de se retirer. Pas clair qu'il reviendra auj. cependant, à suivre. #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535177318004965376"
"Le lien avec Basic Instinct, c'est important pour vous? Pas vraiment. Pas assez pour que je pose des questions à #Magnotta à ce sujet -Watts","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535174418272903168"
"Watts n'a pas non plus montré à #Magnotta des photos trouvées par la police sur son ordi à Berlin. L'une semble être celle du National Post","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535173932035637248"
"Me Leclair montre aussi une photo de #Magnotta publiée dans l'Ottawa Citizen le 7 juin 2012. Watts n'a pas montré ces photos à #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535173678611578880"
"Me Leclair montre aussi un montage photo Lin Jun avec #Magnotta publié dans le National Post le 1er juin 2012","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535173390420955136"
"Procès #Magnotta reprend. Me Leclair montre à Watts une photo de Lin Jun publiée dans The Gazette le 30 ou 31 mai 2012","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535173058907373572"
"Problème technique entraîne pause de l'après-midi au procès #Magnotta. De retour à 15h40","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535166418539794432"
"Le fait qu'il y ait des incohérences n'est pas davantage un élément prouvant la simulation ou l'exagération des symptômes -Watts #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535154892248473600"
"Watts dit que le fait qu'un individu a des trous de mémoires ne peut être considéré comme une preuve qu'il simule #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535154388516757506"
"#Magnotta dit que c'est Lin Jun qui lui a demandé du temazepam. Watts dit que cette réponse est «plausible»","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535151750656049153"
"Watts ajoute que son travail n'est pas celui d'un enquêteur (La Couronne lui a reproché de ne pas avoir posé certaines questions) #Magnotta","Nov 19, 2014","https://twitter.com/#!/MessierSRC/status/535150594236100608"
